Code,Family,Category,Compliance,Relevant Form / Document (best effort),Due Date,Statutory Reference,Penalty,Dependency,Existing/New
IN-MCA-DIR3-KYC,ROC,CORPORATE_SECRETARIAL,DIR-3 KYC — annual director KYC,DIR-3 KYC,Annual — on or before 30 September of the immediate next financial year for DIN holders covered by Rule 12A.,"Rule 12A Companies (Appointment and Qualification of Directors) Rules, 2014","DIN may be deactivated for non-filing; ₹5,000 fee applies for delayed KYC filing.",CIN,Existing
IN-MCA-DIR3-KYC-WEB,ROC,CORPORATE_SECRETARIAL,DIR-3 KYC-WEB — annual web-based director KYC,DIR-3 KYC-WEB,Annual — on or before 30 September of the immediate next financial year for DIN holders covered by Rule 12A.,"Rule 12A Companies (Appointment and Qualification of Directors) Rules, 2014","DIN may be deactivated for non-filing; ₹5,000 fee applies for delayed KYC filing.",CIN,New
IN-MCA-DIR12-APPOINTMENT,ROC,CORPORATE_SECRETARIAL,Director appointment — company filing,DIR-12,Event-based — within 30 days of appointment,"Section 170(2) Companies Act, 2013 r/w Rule 18 Companies (Appointment and Qualification of Directors) Rules, 2014",Additional filing fee and penalties may apply for delayed or omitted filing.,CIN,New
IN-MCA-MBP1-DISCLOSURE,ROC,CORPORATE_SECRETARIAL,MBP-1 — disclosure of interest by director,MBP-1,"Annual / event-based — at the first Board meeting attended, at the first Board meeting of each financial year, and whenever the disclosure changes","Section 184(1) Companies Act, 2013",Contravention may attract monetary penalty on the director and can affect validity of interested transactions.,CIN,Existing
IN-MCA-DIR11-RESIGNATION,ROC,CORPORATE_SECRETARIAL,DIR-11 — notice of resignation by director,DIR-11,Event-based — may be filed by the resigning director within 30 days of resignation,"Section 168(1) Companies Act, 2013 r/w Rule 15 Companies (Appointment and Qualification of Directors) Rules, 2014",Additional filing fee may apply for late filing; company-side DIR-12 compliance remains separate.,CIN,New
IN-MCA-DIR12-RESIGNATION,ROC,CORPORATE_SECRETARIAL,DIR-12 — company reporting of director resignation,DIR-12,Event-based — within 30 days of resignation / cessation,"Section 170(2) Companies Act, 2013 r/w Rule 18 Companies (Appointment and Qualification of Directors) Rules, 2014",Additional filing fee and statutory penalties may apply for default.,CIN,New
IN-MCA-DIR12-APPOINT-REAPPOINT,ROC,CORPORATE_SECRETARIAL,Director appointment / reappointment — ROC filing,DIR-12 + Board/Shareholder Resolution,Event-based — DIR-12 generally within 30 days of appointment / reappointment,"Sections 152 and 170 Companies Act, 2013 r/w Rule 18 Companies (Appointment and Qualification of Directors) Rules, 2014",Additional filing fee and statutory penalties may apply for default.,CIN,New
IN-MCA-INDEPENDENT-DIRECTOR-DECLARATION,ROC,CORPORATE_SECRETARIAL,Independent director — declaration of independence,Declaration under Section 149(7),"Annual / event-based — at the first Board meeting in which the director participates, at the first Board meeting of each financial year, and whenever circumstances change","Section 149(7) Companies Act, 2013",No separate filing penalty; non-compliance is dealt with under the applicable substantive provision.,CIN,New
IN-MCA-SMALL-SHAREHOLDERS-DIRECTOR,ROC,CORPORATE_SECRETARIAL,Small shareholders' director — election / appointment,DIR-12 + shareholder process,Event-based — follow the statutory notice and election process; DIR-12 generally within 30 days of appointment,"Section 151 Companies Act, 2013 r/w Rule 7 Companies (Appointment and Qualification of Directors) Rules, 2014",Additional filing fee and statutory penalties may apply if appointment-related filings are delayed.,CIN,New
IN-MCA-KMP-APPOINTMENT,ROC,CORPORATE_SECRETARIAL,Key managerial personnel — appointment,DIR-12 + Board Resolution,Event-based — appointment by Board; DIR-12 generally within 30 days. A KMP vacancy is to be filled within six months,"Section 203 Companies Act, 2013 r/w Rules 8 and 8A Companies (Appointment and Remuneration of Managerial Personnel) Rules, 2014",Contravention attracts penalties on the company and officers in default under Section 203.,CIN,New
